Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
153000DESC;In the troubled lands of the Danube River basin, peace was never an option. \nLong dominated by the Kingdom of Hungary, the diverse peoples of the area have been fonced to work in the fields for days on end in order to fulfill the ever-increasing demands of the foreign nobles. The regime came crashing down in 1788, however, when a combined Byzantine-Bohemian invasion forced the decadent kingdom to cede the borderlands - the king was murdered and an even more oppressive regency was established, which was in turn overthrown by a group of radical republicans. Hungary then became a hotbed of przewrotian activity, waging war against its neighbours until being crushed by the Byzantines, its Rumanian subjects carving out their own statelets. \nNow, more than a decade later, a new, radical idea is being born in the minds of the idealists - one of brotherhood and unity across the Carpathian mountains. \nAnd the unthinkable option may turn out to be the only right one.;;;;;;;;;;;;
153001NAME;Invitation to the Szeged Conference;;;;;;;;;;;;;
153001DESC;$FROMCOUNTRY$ has embraced the unthinkable idea of creating a unified Carpathian state, calling for a conference In Szeged. Do we accept the invitation, or do we embrace our own nationalist desires? \n§RWe will get annexed if Carpathia forms.;;;;;;;;;;;;
153002NAME;$FROMCOUNTRY$ accepts!;;;;;;;;;;;;;
153002DESC;$FROMCOUNTRY$ has accepted our invitation, thus commiting themselves to the Carpathian cause.;;;;;;;;;;;;
153003NAME;$FROMCOUNTRY$ declines!;;;;;;;;;;;;;
153003DESC;$FROMCOUNTRY$ has declined our invitation, declaring our idea to be insane and not even theoretically possible. Some figures in their government even called for arresting our diplomats, citing our attempts at reconciling the diffrences between the two Carpathian nations being insulting. However, the members of our delegation have managed to successfully slip out of the country. What do we do now?;;;;;;;;;;;;
153004NAME;$FROMCOUNTRY$ declares war!;;;;;;;;;;;;;
153004DESC;The $FROMCOUNTRY_ADJ$ lunatics have declared a war on us in response to s denying their insane idea of 'Rumanian-Hungarian unity'. Is this is what it takes to rid the world of this insanity, then we will fight.;;;;;;;;;;;;
153005NAME;Failure of the Szeged Conference;;;;;;;;;;;;;
153005DESC;One of the required signatories has refused to show up to the cinference, instead choosing to pursue its nation's own nationalist ideas. The Carpathian Dream has died in its infancy.;;;;;;;;;;;;
153006NAME;The Carpathian Coalition is defeated!;;;;;;;;;;;;;
153006DESC;After a gruesome war of our national survival, the so-called 'Carpathian Coalition' has backed down and recalled its desired to unify the historical enemies. Non we are free to pursue our people's destiny!;;;;;;;;;;;;
153200DESC;The Danube river basin has long been dominated by the Kingdom of Hungary (ruled by the Occitan Fois dynasty), the diverse peoples of the area being forced to work in the fields for days on end in order to fulfill the ever-increasing demands of the foreign nobles. The regime came crashing down in 1788, however, when a combined Byzantine-Bohemian invasion forced the decadent kingdom to cede the borderlands - the king was murdered and an even more oppressive regency was established, which was in turn overthrown by a group of radical republicans. Hungary then became a hotbed of przewrotian activity, waging war against its neighbours until being crushed by the Byzantines, its Rumanian subjects carving out their own statelets. \nLajos Batthyany, a Hungarian noble, was crowned as king as a result of the Constantinople Accords. He is known as a staunch patriot and a capable leader, and it remains to be seen what he makes of his beloved nation.;;;;;;;;;;;;
165000DESC;The empire, long divided, must unite. Long united, must divide. \n- Opening lines of the Romance of the Three Kingdoms \nAs the Chinese history always goes, it all started with a new dynastic cycle. The moment the Shun overthrew the Ming in 1644, it became riddled with the timeless plagues of its predecessors. Unable to overcome them, the Shun slowly waned, - the first victim came to be the territorial integrity, as the merchant states of Nanyue and Minyue established themselves in the South. Then, a breach of the Great Wall by the Tanguts, followed by a hasty retreat to Nanjing and the beginning of a new Warlord Era. \nWith the status quo being broken by a Korean invasion of the North, it becomes obvious that change is once again coming to China. It matters not who comes out on top, - the Koreans, the petty warlords or the Tanguts. One thing is certain - unification is nigh.;;;;;;;;;;;;
165001DESC;The beginning of the war in the North means that the strongest of the Shun breakaways, Yan, is now preoccupied with an enemy as strong as them. No matter the repercussions of this war, for the time being we are free to wage whatever war we desire, and as such, it is now time to end the long period of disunity in Central China and unite the petty warlords under our banner. \n§R We will receive a permanent annexation casus belli on every other contender in Central China.;;;;;;;;;;;;
165002DESC;We, the merchant states of the South, are unconcerned with the affairs of the North. Instead, our business lies in the South China Sea, where the Yue and the Min have traditionally held much influence. Over the years, as we expanded our operations in these areas, we grew ever more distant from the Greater Chinese nation, and eventually the local dialects evolved into a true national identity, separate from the Han. \nThe 'Yue', as we call the region, is a completely different area from the rest of China. We know that due to our advanced methods of warfare, which we learned from the West, we are safe from attacks from the North mo matter what, - however, it does not mean we must sit idly and watch our northern neighbours' power grow. The people of the South must be united, and we will make sure that it is us who are at the forefront of this unification.;;;;;;;;;;;;
165003DESC;As the Ming Empire collapsed, its most loyal men fled to the island of Taiwan, known to the Westerners as Formosa. Here, the great general Koxinga established the Kingdom of Tungning, a temporary state before the planned return to the mainland. Things have turned out much differently, however, as the coastline became dominated not by the waning Shun, but by the merchant states of Yue and Min, who have since maintained a blockade (though poorly-enforced) on our nation. \nAs we enter the next period of Chinese history, it seems like Ming's chances of returning are slim. Nevertheless, we shall not give up our hope and accept defeat - for it is the underdog who will come out on top! \n§R Tungning currently has no content. You will get no flavour when pursuing the reclamation.;;;;;;;;;;;;
165004DESC;The Kingdom of Dali, a third bearing such name, rests in the mountains of Yunnan, away from the warmongering Northerners and the greedy Yue. What we are close to, however, is the Burmese Empire, who has relentlessly tried to assault our impregnable mountain fortresses. While they did see some success, the only thing they ever achieved was annexation of several borderland regions at the cost of countless lives lost. \nNow that their 'empire' is idle, we may finally turn our attention inwards. And the most pressing matter is plainly obvious: it is the massive amount of Muslim missionaries funded by Andalusia from their stronghold in Macao. We are not sure what the repercussions of this aggressive proselytisation are going to be, but not choosing a side is not an option, it seems. \n§R Dali currently has no content. You will not receive any unique events or decisions throughout your entire playthrough.;;;;;;;;;;;;
165005DESC;The Tanguts have never really amounted to much. They have been one of many Mongol tribes that roamed the Gobi Desert, raiding the nearby China and fighting among themselves - in short, doing the same thing they have done for the past millenia. \nThings changed very suddenly and very unexpectedly. First came the conversion to Vajrayana Buddhism, then - an attack on Ningxia. The tribemen were shocked to see the defenders flee without much pressure put on them, and soon, virtually without any real opposition, the Kingdom of Iryai was established, named after its capital. \nChange did not stop there, as instead of continuing the traditional nomadic lifestyle, the tribes decided to finally settle and pursue a more harmonious society, one free from war and hatred. The results can already be felt, as the steppes lie fully subjugated. But the conquest of China is a completely different task, - one not fit for a nomad.;;;;;;;;;;;;
